カテゴリ,職種,要約,主な役割,関わり方,強みが必要な領域,平均年収,対象フェーズ,必要スキル,成果物,なるための経路,よく使うAIツール,特徴,目指す人へのアドバイス
技術・エンジニアリング系,ソフトウェアエンジニア,Webや業務アプリの機能を設計して実装する開発者,要件理解と設計・実装・レビュー・改善,PMやデザイナーやQAと協働,基礎実装力・問題解決,500〜900万円,実行層（TA_KB）,プログラミング基礎・Git・テスト,実装コード・設計メモ,学習→個人開発→開発実務,GitHub Copilot・ChatGPT,汎用性が高く幅広い領域を経験しやすい,基礎を固めて小さく作り切る経験を増やす
技術・エンジニアリング系,バックエンドエンジニア,サーバーサイドの設計とAPI開発を担う,API設計・DB設計・性能改善・保守,フロントエンドやインフラと連携,設計力・堅牢性・性能,550〜1000万円,実行層（TA_KB）,Python・Java・Go・SQL・設計,API仕様・DBスキーマ・実装,ソフトウェア開発→バックエンド特化,GitHub Copilot・ChatGPT・SQL支援ツール,堅牢性とスケールを意識した開発が中心,設計レビューを通じて設計思考を磨く
技術・エンジニアリング系,フロントエンドエンジニア,ユーザーが触れるUIを実装する,UI設計・実装・状態管理・性能改善,デザイナーやバックエンドと協働,体験設計・UI実装力,500〜900万円,実行層（TA_KB）,HTML・CSS・TypeScript・UI設計,画面実装・コンポーネント,Web制作→フロント特化,GitHub Copilot・ChatGPT・Figma AI,体験の質が価値に直結する,アクセシビリティとパフォーマンスを意識する
技術・エンジニアリング系,フルスタックエンジニア,フロントとバックを横断して開発する,要件整理・設計・実装・運用,少人数チームで幅広く担当,幅広い実装力・調整力,550〜1000万円,実行層（TA_KB）・拡大型,フロント技術・バック技術・DB,機能一式の実装,フロントまたはバック経験→横断,GitHub Copilot・ChatGPT,スピード重視のプロダクト開発に強い,広く浅くにならないよう基礎を固める
モバイル系,モバイルアプリエンジニア,iOSやAndroidのアプリを開発する,画面実装・端末機能連携・リリース管理,デザイナーやAPI担当と協働,UX実装・端末知識,500〜950万円,実行層（TA_KB）,Swift・Kotlin・UI設計,アプリ実装・ストア申請,Web開発→モバイル特化,GitHub Copilot・ChatGPT・Xcode補助,端末制約とUXの両立が重要,実機検証を習慣化する
ゲーム・XR系,ゲームエンジニア,ゲームのロジックや描画を実装する,ゲームロジック・描画最適化・ツール開発,プランナーやデザイナーと協働,リアルタイム処理・最適化,450〜900万円,実行層（TA_KB）,C++・C#・Unity・Unreal,ゲーム機能・パフォーマンス改善,ゲーム開発→エンジン理解,GitHub Copilot・ChatGPT,リアルタイム性と体験品質が重要,小さなゲームを完成させる経験を積む
組み込み・ハードウェア系,組み込みエンジニア,機器やデバイスの制御ソフトを開発する,制御設計・ドライバ実装・デバッグ,ハード担当や製造と連携,低レイヤー理解・品質,450〜850万円,実行層（TA_KB）,C・C++・RTOS・ハード基礎,制御ソフト・仕様書,電気系学習→組み込み実務,ChatGPT・コード補助,制約の中で安定動作を作る仕事,仕様と実機の差分を丁寧に検証する
データ基盤系,データエンジニア,データ基盤を設計し運用する,ETL・DWH設計・パイプライン運用,分析担当や開発と協働,データ処理・基盤設計,600〜1000万円,実行層（TA_KB）,SQL・Python・クラウドDWH,データパイプライン・設計書,インフラや開発→データ特化,ChatGPT・SQL支援ツール,信頼できるデータ提供が価値,データ品質の基準を明確にする
インフラ・運用系,クラウドインフラエンジニア,クラウド基盤を設計構築する,クラウド設計・IaC・監視構築,開発チームと連携,可用性・運用設計,550〜1000万円,実行層（TA_KB）,AWS・GCP・Terraform・監視,インフラ構成図・IaC,インフラ運用→クラウド設計,ChatGPT・IaC補助,再現性ある基盤づくりが重要,運用まで見据えた設計をする
インフラ・運用系,SREエンジニア,サービスの信頼性を高める運用担当,SLI設計・障害対応・自動化,開発と運用の橋渡し,信頼性設計・自動化,600〜1100万円,拡大型（TA_KC）,Linux・監視・SLO・自動化,運用改善レポート・自動化ツール,インフラ運用→SRE,ChatGPT・運用自動化補助,運用の継続改善が中心,障害事例を学び再発防止を習慣化する
インフラ・運用系,DevOpsエンジニア,開発と運用をつなぐ仕組みを作る,CI/CD設計・環境整備・自動化,開発チームと密に連携,自動化・パイプライン設計,550〜1000万円,拡大型（TA_KC）,CI/CD・Docker・Kubernetes,パイプライン・運用手順,開発者→運用自動化,GitHub Copilot・ChatGPT,開発スピードと品質を両立する役割,小さく改善を積み上げる
ネットワーク系,ネットワークエンジニア,ネットワーク設計と運用を担う,設計・構築・監視・障害対応,インフラチームと協働,安定運用・通信設計,500〜900万円,実行層（TA_KB）,TCP/IP・ルーティング・FW,ネットワーク構成図・設定,運用→設計担当,ChatGPT・設定レビュー補助,可用性の確保が重要,基礎理論を実機で検証する
セキュリティ系,セキュリティエンジニア,システムの安全性を守る専門職,脆弱性診断・対策設計・監査対応,開発と法務と連携,リスク評価・対策力,600〜1200万円,拡大型（TA_KC）,セキュリティ基礎・監査・ログ分析,対策計画・監査レポート,インフラや開発→セキュリティ特化,ChatGPT・脆弱性調査補助,安全性を継続的に高める,最新動向を追い続ける
品質・テスト系,QA・テストエンジニア,品質を担保するテスト設計の専門家,テスト設計・実行・不具合分析,開発チームと協働,品質保証・分析力,400〜800万円,実行層（TA_GB）,テスト設計・不具合分析・仕様理解,テスト計画・レポート,QA実務→品質責任者,ChatGPT・テストケース生成,ユーザー体験を守る役割,仕様理解を深めて観点を広げる
品質・テスト系,テスト自動化エンジニア,自動テストで開発効率を高める,自動テスト設計・CI連携・保守,開発とQAの橋渡し,自動化設計・保守力,500〜900万円,拡大型（TA_KC）,自動テスト・CI/CD・スクリプト,自動テストスイート,QA→自動化特化,GitHub Copilot・ChatGPT,品質と速度の両立に貢献,保守性の高いテスト設計を意識する
マネジメント・アーキテクト系,テックリード／アーキテクト,技術方針と設計の責任者,技術選定・アーキ設計・レビュー,複数チームと連携,設計力・意思決定,700〜1400万円,拡大型（TA_KC）,設計・レビュー・チーム指導,アーキ設計書・技術方針,シニアエンジニア→リード,ChatGPT・設計レビュー補助,長期視点での技術選定が重要,設計の言語化を習慣化する
マネジメント・アーキテクト系,エンジニアリングマネージャー,エンジニア組織をマネジメントする,目標設定・育成・評価・採用,事業側と連携,人材育成・組織設計,700〜1500万円,拡大型（TA_KC）,マネジメント・技術理解・評価,組織運営計画・評価資料,リード経験→マネージャー,ChatGPT・ドキュメント補助,人と組織の成長が成果,技術と人の両面を大切にする
